OrderID,OrderDate,CustomerID,BranchID,Branch,City,ProductID,Product,Category,Subcategory,Quantity,UnitPrice,Sales,Cost,Profit,PaymentMethod,Channel,CustomerType
100000,2024-07-16 11:31:00,C4168,B002,Mohandeseen,Giza,P020,Dates Medjool 500g,Dry Fruits,Dates,1,140,140,85,55,Cash,Online,New
100001,2024-09-27 16:54:00,C1942,B006,Nasr City,Cairo,P010,Rice 5kg,Grocery,Staples,1,180,180,110,70,Visa,Store,New
100002,2024-08-20 18:09:00,C3534,B009,6th of October City,Giza,P038,Energy Drink 330ml,Beverages,Energy,1,30,30,18,12,Cash,Store,Returning
100003,2024-07-05 14:28:00,C4081,B010,Sheikh Zayed,Giza,P026,Chocolate 100g,Confectionery,Chocolate,1,35,35,20,15,Visa,Store,Returning
100004,2024-04-06 09:17:00,C4315,B007,Zamalek,Cairo,P031,Bread 1pc,Bakery,Bread,2,8,16,8,8,Cash,Store,Returning
100005,2024-10-22 18:06:00,C1377,B003,New Cairo (Waterway),Cairo,P019,Cinnamon 50g,Spices,Spice,1,48,48,28,20,Visa,Store,New
100006,2024-02-26 11:01:00,C4344,B008,Dokki,Giza,P008,Honey Natural 500g,Honey,Pure,1,200,200,120,80,Cash,Store,New
100007,2024-12-04 16:28:00,C1829,B006,Nasr City,Cairo,P025,Chips 150g,Snacks,Chips,1,25,25,13,12,Cash,Online,Returning
100008,2024-02-13 13:27:00,C1080,B004,Mall of Arabia - 6th October,Giza,P032,Frozen Vegetables 400g,Frozen,Veg,1,55,55,32,23,Cash,Store,Returning
100009,2024-09-17 13:03:00,C2184,B008,Dokki,Giza,P020,Dates Medjool 500g,Dry Fruits,Dates,3,140,420,255,165,Cash,Store,New
100010,2024-11-28 14:46:00,C3854,B007,Zamalek,Cairo,P031,Bread 1pc,Bakery,Bread,1,8,8,4,4,Cash,Store,Returning
100011,2024-03-31 17:17:00,C1216,B009,6th of October City,Giza,P015,Orange Juice 1L,Beverages,Juice,1,60,60,35,25,Visa,Store,Returning
100012,2024-02-25 18:03:00,C1891,B011,Maadi 2,Cairo,P023,Tea Bags 100pcs,Beverages,Tea,1,90,90,50,40,Cash,Store,Returning
100013,2024-02-28 08:57:00,C4419,B001,Maadi 1,Cairo,P030,Yogurt 170g,Dairy,Yogurt,2,18,36,20,16,Visa,Store,Returning
100014,2024-09-29 09:17:00,C1625,B004,Mall of Arabia - 6th October,Giza,P020,Dates Medjool 500g,Dry Fruits,Dates,1,140,140,85,55,Wallet,Store,Returning
100015,2024-07-26 14:25:00,C2466,B002,Mohandeseen,Giza,P032,Frozen Vegetables 400g,Frozen,Veg,1,55,55,32,23,Cash,Online,Returning
100016,2024-12-20 12:31:00,C2906,B004,Mall of Arabia - 6th October,Giza,P028,Mayonnaise 400g,Grocery,Condiment,1,65,65,38,27,Cash,Store,New
100017,2024-11-22 12:45:00,C1754,B010,Sheikh Zayed,Giza,P001,Almonds 250g,Nuts,Roasted,3,85,255,165,90,Cash,Store,Returning
