CustomerID,JoinDate,City,CustomerType
C1000,2024-10-16,Cairo,New
C1001,2023-10-09,Cairo,New
C1002,2023-04-15,Cairo,Returning
C1003,2023-02-02,Cairo,New
C1004,2023-08-27,Cairo,Returning
C1005,2024-10-27,Giza,New
C1006,2024-08-26,Giza,Returning
C1007,2023-01-07,Cairo,Returning
C1008,2023-12-15,Giza,New
C1009,2023-12-11,Cairo,New
C1010,2023-04-10,Giza,Returning
C1011,2024-09-10,Giza,Returning
C1012,2024-04-15,Cairo,Returning
C1013,2024-01-23,Cairo,Returning
C1014,2024-10-05,Giza,Returning
C1015,2023-03-13,Cairo,Returning
C1016,2023-10-24,Cairo,Returning
C1017,2023-04-14,Giza,New
C1018,2024-10-12,Giza,New
C1019,2023-12-30,Cairo,Returning
C1020,2024-11-30,Cairo,Returning
C1021,2023-06-25,Cairo,New
C1022,2024-01-24,Giza,Returning
C1023,2024-10-17,Cairo,Returning
C1024,2023-02-27,Cairo,Returning
C1025,2023-11-20,Giza,New
C1026,2023-08-05,Giza,New
C1027,2024-05-26,Giza,Returning
C1028,2024-10-20,Giza,New
C1029,2023-05-23,Cairo,Returning
C1030,2024-07-05,Giza,Returning
C1031,2024-03-14,Giza,Returning
C1032,2023-05-22,Giza,New
C1033,2023-02-18,Cairo,New
C1034,2023-06-13,Giza,Returning
C1035,2024-01-30,Giza,Returning
C1036,2024-04-24,Giza,Returning
C1037,2023-01-12,Cairo,Returning
C1038,2024-07-03,Giza,Returning
C1039,2023-12-15,Cairo,New
C1040,2023-06-11,Giza,New
C1041,2023-09-27,Cairo,Returning
C1042,2023-04-19,Giza,Returning
C1043,2024-06-03,Cairo,New
C1044,2023-06-15,Cairo,Returning
C1045,2024-05-15,Cairo,New
C1046,2024-01-07,Giza,New
C1047,2023-09-04,Cairo,New
C1048,2024-05-12,Cairo,Returning
C1049,2024-06-29,Cairo,New
C1050,2024-05-01,Cairo,New
C1051,2024-09-13,Giza,Returning
C1052,2024-07-06,Cairo,Returning
C1053,2024-02-13,Giza,Returning
C1054,2024-06-13,Giza,New
C1055,2023-08-19,Cairo,New
C1056,2024-08-25,Cairo,Returning
C1057,2023-01-08,Cairo,Returning
C1058,2023-03-02,Cairo,New
C1059,2023-02-02,Giza,New
C1060,2023-09-01,Giza,Returning
C1061,2023-08-08,Cairo,Returning
C1062,2024-08-07,Giza,New
